INSEGNA;CLASSIFICAZIONE;INDIRIZZO;MUNICIPIO;TIPOLOGIA;SINGOLE;DOPPIE;TRIPLE;QUADRUPLE;QUINTUPLE;SESTUPLE;UNITA_ABITATIVE;POSTI_LETTO_UNITA_ABITATIVE;latitude;longitude
A CASA DI STEFANO;Categoria 3;VIA FIRENZE, 43;Municipio I (ex Mun I);Guest House o Affittacamere;2;3;0;0;0;0;0;0;41.90297;12.49348
A CASA DI STEFANO E LAVINIA;Categoria 2;VIA MARIO DE FIORI, 116;Municipio I (ex Mun I);Casa Vacanze NON impr (Appartamento);0;3;0;0;0;0;0;0;41.90426;12.48209
A CASA DI ZIA LOLA;Categoria 2;VIA DELLA PURIFICAZIONE, 22;Municipio I (ex Mun I);Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;0;0;41.90447;12.487
CASA NOSTRA HOLIDAYS;Unica;VIA EMANUELE FILIBERTO, 217;Municipio I (ex Mun I);Bed & Breakfast non imprenditoriale;0;0;0;0;0;0;0;0;41.88924;12.507
CASA TOTTI;Unica;VIA GAETA, 79;Municipio I (ex Mun I);Bed & Breakfast non imprenditoriale;0;3;0;0;0;0;0;0;41.90387;12.49941
A FEW STEPS FROM COLOSSEUM;Unica;VIA MERULANA, 187;Municipio I (ex Mun I);Bed & Breakfast non imprenditoriale;0;0;0;0;0;0;0;0;41.89112;12.50229
A MONTI DA LUDO;Categoria 3;VIA DI S. AGATA DEI GOTI, 21;Municipio I (ex Mun I);Casa Vacanze NON impr (Appartamento);1;1;0;1;0;0;0;0;41.89539;12.48933
A PIU';Unica;VIA DI S. CROCE IN GERUSALEMME, 43;Municipio I (ex Mun I);Bed & Breakfast non imprenditoriale;0;3;0;0;0;0;0;0;41.88965;12.51283
A ROMAN TALE Bed & Breakfast;Unica;VIA PRINCIPE AMEDEO, 85/A;Municipio I (ex Mun I);Bed & Breakfast imprenditoriale;0;3;0;0;0;0;0;0;41.89817;12.50125
A SECRET CORNER;Categoria 1;VICOLO DEI FALEGNAMI, 40;Municipio I (ex Mun I);Casa Vacanze NON impr (Appartamento);0;0;0;0;0;0;2;4;41.89453;12.47679
A STAR INN;Categoria 3;VIA DELLE QUATTRO FONTANE, 15;Municipio I (ex Mun I);Guest House o Affittacamere;1;4;1;0;0;0;0;0;41.90247;12.49001
A STONE THROW FROM THE COLOSSEUM;Categoria 1;VIA DEL BOSCHETTO, 101;Municipio I (ex Mun I);Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;0;0;41.89569;12.49107
A TESTACCIO DA MAX;Unica;VIA ORAZIO ANTINORI, 7;Municipio I (ex Mun I);Bed & Breakfast non imprenditoriale;0;0;0;0;0;0;0;0;41.88031;12.473
TRASTEVERE;Unica;VIALE DI TRASTEVERE, 152;Municipio I (ex Mun I);Bed & Breakfast non imprenditoriale;1;1;0;0;0;0;0;0;41.88179;12.46762
A TRASTEVERE DA ME;Categoria 3;PIAZZA SIDNEY SONNINO, 25;Municipio I (ex Mun I);Guest House o Affittacamere;0;4;0;0;0;0;0;0;41.88896;12.47427
A TRIBUTE TO MUSIC ROMA;Categoria 3;VIA NAPOLI, 51;Municipio I (ex Mun I);Casa Vacanze impr (Appartamento);0;0;0;0;0;0;7;0;41.90135;12.493
VIA DEI GIUBBONARI;Unica;VIA DEI GIUBBONARI, 23;Municipio I (ex Mun I);Bed & Breakfast non imprenditoriale;0;0;0;0;0;0;0;0;41.89429;12.47419
A VIA DEL PANTHEON 57;Unica;VIA DEL PANTHEON, 57;Municipio I (ex Mun I);Bed & Breakfast non imprenditoriale;0;0;0;0;0;0;0;0;41.89975;12.47687
A WORLD APARTS   68 BARBERINI Guest House o Affittacamere;Categoria 2;VIA BARBERINI, 68;Municipio I (ex Mun I);Guest House o Affittacamere;0;4;1;0;0;0;0;0;41.9047;12.49246
A casa di Antonia Bed & Breakfast;Unica;VIA PRINCIPE AMEDEO, 148;Municipio I (ex Mun I);Bed & Breakfast imprenditoriale;0;1;0;0;0;0;0;0;41.89674;12.50394
A&A B&B;Unica;VIA VOLTURNO, 40;Municipio I (ex Mun I);Bed & Breakfast non imprenditoriale;0;1;0;0;0;0;0;0;41.90412;12.50026
A&C MUCH MORE guest house o affittacamere;Categoria 3;VIA PALESTRO, 49;Municipio I (ex Mun I);Guest House o Affittacamere;0;6;0;0;0;0;0;0;41.90476;12.50437
A&F COLOSSEO;Unica;VIA DEI QUATTRO CANTONI, 55;Municipio I (ex Mun I);Bed & Breakfast non imprenditoriale;0;0;0;0;0;0;0;0;41.89657;12.49629
A&S FORAGGI APARTMENT DI SPEZZAFERRI ANDREA MARIA;Categoria 1;VIA DEI FORAGGI, 82;Municipio I (ex Mun I);Casa Vacanze impr (Appartamento);0;1;0;0;0;0;0;0;41.89119;12.48411
A-FLAT;Categoria 2;PIAZZA SFORZA CESARINI, 28;Municipio I (ex Mun I);Casa Vacanze NON impr (Appartamento);1;0;1;0;0;0;0;0;41.89814;12.46779
A-ROME SUITE;Categoria 2;VIA MERULANA, 259;Municipio I (ex Mun I);Casa Vacanze NON impr (Appartamento);1;1;0;0;0;0;0;0;41.8955;12.49981
A.WILLIAM FLAT;Unica;VIA CALATAFIMI, 41;Municipio I (ex Mun I);Bed & Breakfast non imprenditoriale;0;1;0;0;0;0;0;0;41.90516;12.50046
AB HOUSE;Categoria 2;VIA SOLFERINO, 9;Municipio I (ex Mun I);Guest House o Affittacamere;0;0;0;2;1;0;0;0;41.9036;12.50143
ABBITUE';Categoria 2;VIA DELL'OCA, 45;Municipio I (ex Mun I);Casa Vacanze NON impr (Appartamento);2;0;0;0;0;0;0;0;41.90962;12.47591
ABERDEEN;2 Stelle;VIA FIRENZE, 48;Municipio I (ex Mun I);Albergo;10;22;5;0;0;0;0;0;41.90262;12.49391
ABID'S PALACE IN TERMINI Guest House o Affittacamere/Guest House o Affittacamere  ABID'S PALACE IN TERMINI;Categoria 3;VIA NAPOLEONE III, 29;Municipio I (ex Mun I);Guest House o Affittacamere;0;1;2;1;0;0;0;0;41.8969;12.50161
ABITARE TRASTEVERE;Categoria 2;VIA DI PONTE SISTO, 69;Municipio I (ex Mun I);Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;0;0;41.89188;12.46938
ABITARE TRASTEVERE;Categoria 4;VIA DI PONTE SISTO, 69;Municipio I (ex Mun I);Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;0;0;41.89188;12.46938
ABOUT ROME;Categoria 2;VIA FRANCESCO CRISPI, 79;Municipio I (ex Mun I);Casa Vacanze NON impr (Appartamento);0;2;0;0;0;0;0;0;41.90515;12.48581
ACCADEMIA;3 Stelle;PIAZZA DELL'ACCADEMIA DI S. LUCA, 75;Municipio I (ex Mun I);Albergo;13;34;23;3;1;0;0;0;41.90178;12.48377
ACCOGLIENZA VILLA LANTE DELLE SUORE DEL SACRO CUORE;Unica;VIA DI S. FRANCESCO DI SALES, 18;Municipio I (ex Mun I);Casa per ferie;12;11;2;0;0;0;0;0;41.89393;12.46272
ACCOMODATIONSROME;Unica;VIA PRINCIPE EUGENIO, 60;Municipio I (ex Mun I);Casa Vacanze NON impr (Appartamento);0;2;1;0;0;0;0;0;41.89387;12.50806
ACH - ARCHITECTS HOUSE COLOSSEO;Categoria 3;VIA FRANCESCO GIAMBULLARI, 8;Municipio I (ex Mun I);Casa Vacanze NON impr (Appartamento);1;1;0;0;0;0;0;0;41.88998;12.49996
ACQUARIO ROMANO;Unica;PIAZZA MANFREDO FANTI, 38;Municipio I (ex Mun I);Bed & Breakfast non imprenditoriale;0;0;0;0;0;0;0;0;41.89781;12.50194
AD HOC DOMUS;Categoria 3;VIA EMANUELE FILIBERTO, 233;Municipio I (ex Mun I);Guest House o Affittacamere;1;3;1;0;0;0;0;0;41.889;12.50724
AD HOC HOME;Categoria 2;VIA DELLA SCALA, 75;Municipio I (ex Mun I);Casa Vacanze impr (Appartamento);0;0;0;0;0;0;1;0;41.89054;12.46866
ADELINA GUESTHOUSE;Categoria 2;PIAZZA DI PORTA MAGGIORE, 20;Municipio I (ex Mun I);Guest House o Affittacamere;1;4;0;0;0;0;0;0;41.89152;12.51388
ADORA SUITE 2 guest house o affittacamere;Categoria 3;VIA FILIPPO TURATI, 28;Municipio I (ex Mun I);Guest House o Affittacamere;1;2;2;0;0;0;0;0;41.89887;12.50154
ADORA SUITES guest house o affittacamere;Categoria 3;VIA FILIPPO TURATI, 28;Municipio I (ex Mun I);Guest House o Affittacamere;1;4;0;0;0;0;0;0;41.89887;12.50154
ADRIANA E FELICE;Categoria 2;VIA CARLO ALBERTO, 13;Municipio I (ex Mun I);Guest House o Affittacamere;0;3;0;0;0;0;0;0;41.89665;12.50027
ADRIANO;3 Stelle;VIA DI PALLACORDA, 2;Municipio I (ex Mun I);Albergo;6;51;9;14;0;0;0;0;41.9024;12.47573
ADRIANUS  HOTEL;2 Stelle;VIA DI TOR MILLINA, 35;Municipio I (ex Mun I);Albergo;0;7;0;0;0;0;0;0;41.8992;12.47129
AELIUS;Categoria 2;VIA VOLTURNO, 7;Municipio I (ex Mun I);Guest House o Affittacamere;1;5;0;0;0;0;0;0;41.90495;12.49898
AENEA INN;Categoria 1;VIA URBANA, 156;Municipio I (ex Mun I);Guest House o Affittacamere;2;2;2;0;0;0;0;0;41.89791;12.49546
AENEA'S B&B;Unica;VIA RATTAZZI, 63;Municipio I (ex Mun I);Bed & Breakfast non imprenditoriale;0;0;0;0;0;0;0;0;41.89813;12.50384
AFFITTA CAMERE LES ARTES;Categoria 3;VIA MILAZZO, 23;Municipio I (ex Mun I);Guest House o Affittacamere;3;1;0;0;0;0;0;0;41.90248;12.50517
"AFFITTACAMERE ""LIN MARE""";Categoria 3;VIA CAIROLI, 101;Municipio I (ex Mun I);Guest House o Affittacamere;0;0;2;2;0;0;0;0;41.89428;12.50787
