Str. di prima assegnazione;Anno;Data di presentazione;Tipo di segnalazione - codice;Tipo di segnalazione - descrizione;Area tematica - codice;Descrizione area tematica;Argomento - codice;Descrizione argomento;Tipo arrivo - codice;Descrizione tipo arrivo;Canale di risposta - codice;Descr. modalità di risposta;Punto esclamativo SI/NO;Municipio di riferimento (tramite geo-localizzazione)
MUNICIPIO ROMA XII (EX MUNICIPIO XVI);2020;01/06/2020;6;Segnalazione;11;OPERE E MANUTENZIONE DELLA CITTÀ;150;ILLUMINAZIONE PUBBLICA - GUASTI;6;Call Center;4;Email;NO;12
POLIZIA LOCALE ROMA CAPITALE -  II GRUPPO PARIOLI -(EX GRUPPO II);2020;01/06/2020;6;Segnalazione;14;SICUREZZA URBANA E PROTEZIONE CIVILE;161;INQUINAMENTO ACUSTICO - DISTURBO QUIETE PUBBLICA;10;PEC;7;PEC;NO;2
DIPARTIMENTO TUTELA AMBIENTALE;2020;01/06/2020;1;Reclamo;11;OPERE E MANUTENZIONE DELLA CITTÀ;180;MANCATO TAGLIO ERBA;5;Email;4;Email;NO;14
DIPARTIMENTO TUTELA AMBIENTALE;2020;01/06/2020;6;Segnalazione;11;OPERE E MANUTENZIONE DELLA CITTÀ;169;MANCATA POTATURA ALBERI;8;CRM 060606;5;Telefono;NO;n.a.
CORPO DI POLIZIA LOCALE DI ROMA CAPITALE;2020;01/06/2020;6;Segnalazione;14;SICUREZZA URBANA E PROTEZIONE CIVILE;298;! SOSTA SU ATTRAVERSAMENTO PEDONALE;7;Portale;6;Web;SI;2
DIPARTIMENTO TUTELA AMBIENTALE;2020;01/06/2020;6;Segnalazione;11;OPERE E MANUTENZIONE DELLA CITTÀ;169;MANCATA POTATURA ALBERI;8;CRM 060606;5;Telefono;NO;n.a.
MUNICIPIO ROMA X (EX MUNICIPIO XIII);2020;01/06/2020;6;Segnalazione;14;SICUREZZA URBANA E PROTEZIONE CIVILE;378;MARCIAPIEDI - PRESENZA BUCHE O FESSURE;8;CRM 060606;5;Telefono;NO;n.a.
DIPARTIMENTO TUTELA AMBIENTALE;2020;01/06/2020;6;Segnalazione;11;OPERE E MANUTENZIONE DELLA CITTÀ;144;FONTANELLE DA REVISIONARE - PULIRE - SOSTITUIRE;4;Telefono;4;Email;NO;5
DIPARTIMENTO TUTELA AMBIENTALE;2020;01/06/2020;6;Segnalazione;11;OPERE E MANUTENZIONE DELLA CITTÀ;207;PARCHI, VILLE E GIARDINI - MANCATA PULIZIA;5;Email;4;Email;NO;14
POLIZIA LOCALE ROMA CAPITALE -  XIII GRUPPO AURELIO -(EX GRUPPO XVIII);2020;01/06/2020;6;Segnalazione;12;PATRIMONIO;214;PATRIMONIO IMMOBILIARE COMUNALE - DEGRADO;7;Portale;6;Web;NO;13
MUNICIPIO ROMA IV (EX MUNICIPIO V);2020;01/06/2020;6;Segnalazione;11;OPERE E MANUTENZIONE DELLA CITTÀ;257;RIFACIMENTO STRISCE PEDONALI;5;Email;4;Email;NO;4
DIPARTIMENTO TUTELA AMBIENTALE;2020;01/06/2020;1;Reclamo;11;OPERE E MANUTENZIONE DELLA CITTÀ;169;MANCATA POTATURA ALBERI;10;PEC;7;PEC;NO;1
POLIZIA LOCALE ROMA CAPITALE -  VII GRUPPO TUSCOLANO -(EX GRUPPO X);2020;01/06/2020;6;Segnalazione;14;SICUREZZA URBANA E PROTEZIONE CIVILE;383;ASSEMBRAMENTI;7;Portale;6;Web;NO;7
MUNICIPIO ROMA IX (EX MUNICIPIO XII);2020;01/06/2020;6;Segnalazione;11;OPERE E MANUTENZIONE DELLA CITTÀ;49;CASSONETTO PLASTICA PIENO/RIBALTATO/DANNEGGIATO;7;Portale;6;Web;NO;9
MUNICIPIO ROMA VII (EX MUNICIPI IX E X);2020;01/06/2020;1;Reclamo;11;OPERE E MANUTENZIONE DELLA CITTÀ;49;CASSONETTO PLASTICA PIENO/RIBALTATO/DANNEGGIATO;8;CRM 060606;5;Telefono;NO;n.a.
MUNICIPIO ROMA V (EX MUNICIPI VI E VII);2020;01/06/2020;1;Reclamo;11;OPERE E MANUTENZIONE DELLA CITTÀ;48;CASSONETTO INDIFFERENZIATO PIENO/RIBALTATO/DANNEGGIATO;6;Call Center;6;Web;NO;5
MUNICIPIO ROMA II (EX MUNICIPI II E III);2020;01/06/2020;6;Segnalazione;11;OPERE E MANUTENZIONE DELLA CITTÀ;38;CADITOIE/TOMBINI - MANCATA PULIZIA;8;CRM 060606;5;Telefono;NO;n.a.
MUNICIPIO ROMA I (EX MUNICIPI I E XVII);2020;01/06/2020;1;Reclamo;11;OPERE E MANUTENZIONE DELLA CITTÀ;48;CASSONETTO INDIFFERENZIATO PIENO/RIBALTATO/DANNEGGIATO;5;Email;4;Email;NO;1
MUNICIPIO ROMA X (EX MUNICIPIO XIII);2020;01/06/2020;6;Segnalazione;14;SICUREZZA URBANA E PROTEZIONE CIVILE;378;MARCIAPIEDI - PRESENZA BUCHE O FESSURE;8;CRM 060606;5;Telefono;NO;n.a.
DIPARTIMENTO TUTELA AMBIENTALE;2020;01/06/2020;6;Segnalazione;11;OPERE E MANUTENZIONE DELLA CITTÀ;169;MANCATA POTATURA ALBERI;8;CRM 060606;5;Telefono;NO;n.a.
DIPARTIMENTO TUTELA AMBIENTALE;2020;01/06/2020;6;Segnalazione;11;OPERE E MANUTENZIONE DELLA CITTÀ;169;MANCATA POTATURA ALBERI;4;Telefono;4;Email;NO;5
DIPARTIMENTO TUTELA AMBIENTALE;2020;01/06/2020;6;Segnalazione;11;OPERE E MANUTENZIONE DELLA CITTÀ;180;MANCATO TAGLIO ERBA;8;CRM 060606;5;Telefono;NO;n.a.
MUNICIPIO ROMA XI (EX MUNICIPIO XV);2020;01/06/2020;6;Segnalazione;11;OPERE E MANUTENZIONE DELLA CITTÀ;305;SPAZZAMENTO SU MARCIAPIEDE;5;Email;6;Web;NO;11
POLIZIA LOCALE ROMA CAPITALE -  XI GRUPPO MARCONI -(EX GRUPPO XV);2020;01/06/2020;6;Segnalazione;1;AMBIENTE;362;DIRITTI DEGLI ANIMALI;7;Portale;6;Web;NO;11
MUNICIPIO ROMA X (EX MUNICIPIO XIII);2020;01/06/2020;6;Segnalazione;14;SICUREZZA URBANA E PROTEZIONE CIVILE;378;MARCIAPIEDI - PRESENZA BUCHE O FESSURE;8;CRM 060606;5;Telefono;NO;n.a.
MUNICIPIO ROMA X (EX MUNICIPIO XIII);2020;01/06/2020;6;Segnalazione;14;SICUREZZA URBANA E PROTEZIONE CIVILE;378;MARCIAPIEDI - PRESENZA BUCHE O FESSURE;8;CRM 060606;5;Telefono;NO;n.a.
DIPARTIMENTO POLITICHE SOCIALI;2020;01/06/2020;1;Reclamo;11;OPERE E MANUTENZIONE DELLA CITTÀ;172;MANCATA RACCOLTA RIFIUTI;5;Email;5;Telefono;NO;4
